"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2024","5,134.73","5,135.62","5,145.34","5,124.39","10.63M","0.17%"
"10/17/2024","5,126.16","5,155.58","5,156.70","5,125.79","19.10M","-0.40%"
"10/16/2024","5,146.96","5,136.34","5,165.41","5,127.21","24.40M","-0.15%"
"10/15/2024","5,154.47","5,161.76","5,161.76","5,126.05","28.66M","-0.14%"
"10/14/2024","5,161.81","5,164.39","5,173.83","5,143.39","19.46M","-0.04%"
"10/13/2024","5,163.75","5,133.41","5,172.45","5,133.41","19.16M","0.62%"
"10/10/2024","5,131.83","5,119.11","5,141.11","5,109.87","17.94M","0.43%"
"10/09/2024","5,109.94","5,121.09","5,129.94","5,109.42","15.92M","-0.39%"
"10/08/2024","5,129.88","5,120.30","5,130.46","5,101.46","14.93M","0.36%"
"10/07/2024","5,111.46","5,118.20","5,139.38","5,100.23","28.87M","-0.15%"
"10/06/2024","5,119.18","5,148.91","5,158.35","5,100.13","25.54M","-0.23%"
"10/03/2024","5,130.93","5,159.24","5,161.49","5,120.43","22.96M","-0.55%"
"10/02/2024","5,159.41","5,152.12","5,169.65","5,140.73","23.69M","-0.07%"
"10/01/2024","5,162.94","5,143.23","5,163.37","5,142.47","21.79M","0.39%"
"09/30/2024","5,143.08","5,177.57","5,178.46","5,141.72","23.83M","-0.49%"
"09/29/2024","5,168.58","5,231.41","5,231.68","5,159.45","16.22M","-1.19%"
"09/26/2024","5,230.62","5,257.80","5,257.83","5,222.50","15.86M","-0.52%"
"09/25/2024","5,257.74","5,228.90","5,257.74","5,209.87","15.71M","0.73%"
"09/24/2024","5,219.89","5,210.79","5,229.33","5,200.96","13.28M","0.36%"
"09/22/2024","5,201.42","5,189.28","5,219.98","5,172.04","13.02M","0.23%"
"09/19/2024","5,189.24","5,150.55","5,189.24","5,141.30","21.76M","1.13%"
"09/18/2024","5,131.04","5,149.62","5,158.94","5,130.81","11.28M","-0.36%"
"09/17/2024","5,149.42","5,159.66","5,168.90","5,139.57","13.03M","-0.20%"
"09/16/2024","5,159.73","5,162.59","5,171.84","5,141.38","13.05M","0.12%"
"09/15/2024","5,153.51","5,154.71","5,173.24","5,144.61","12.18M","0.34%"
"09/12/2024","5,135.95","5,144.99","5,163.86","5,126.17","17.58M","0.38%"
"09/11/2024","5,116.38","5,155.39","5,164.58","5,116.30","19.36M","-0.76%"
"09/10/2024","5,155.81","5,173.14","5,183.47","5,154.12","14.14M","-0.15%"
"09/09/2024","5,163.67","5,183.47","5,193.14","5,162.85","13.97M","-0.20%"
"09/08/2024","5,174.03","5,210.68","5,219.82","5,173.89","16.20M","-0.91%"
"09/05/2024","5,221.74","5,251.40","5,260.78","5,221.60","16.44M","-0.39%"
"09/04/2024","5,242.25","5,268.42","5,268.50","5,239.23","19.92M","-0.89%"
"09/03/2024","5,289.19","5,297.65","5,306.77","5,270.54","16.34M","0.01%"
"09/02/2024","5,288.48","5,287.40","5,316.49","5,259.90","34.93M","0.19%"
"09/01/2024","5,278.19","5,305.70","5,305.70","5,267.95","15.13M","-0.35%"
"08/29/2024","5,296.56","5,260.08","5,296.56","5,249.44","92.93M","0.69%"
"08/28/2024","5,260.46","5,269.79","5,279.37","5,241.46","19.33M","-0.35%"
"08/27/2024","5,278.91","5,297.03","5,317.25","5,278.58","22.52M","-0.34%"
"08/26/2024","5,297.01","5,281.46","5,306.07","5,269.08","20.40M","0.30%"
"08/25/2024","5,281.11","5,262.61","5,281.13","5,252.97","15.77M","0.71%"
"08/22/2024","5,243.72","5,261.73","5,271.09","5,233.87","19.40M","-0.35%"
"08/21/2024","5,261.94","5,299.19","5,299.19","5,252.50","25.91M","-1.54%"
"08/20/2024","5,344.07","5,371.36","5,371.82","5,325.69","22.29M","-0.50%"
"08/19/2024","5,370.78","5,361.96","5,370.78","5,342.48","22.25M","0.17%"
"08/18/2024","5,361.64","5,341.73","5,370.92","5,341.73","19.04M","0.38%"
"08/15/2024","5,341.42","5,339.68","5,352.25","5,331.48","27.94M","0.23%"
"08/14/2024","5,329.07","5,338.26","5,365.77","5,328.39","27.47M","-0.16%"
"08/13/2024","5,337.63","5,299.54","5,338.70","5,290.19","23.53M","0.89%"
"08/12/2024","5,290.60","5,299.79","5,309.39","5,270.97","30.51M","0.02%"
"08/11/2024","5,289.58","5,296.73","5,299.29","5,269.87","24.04M","0.75%"
"08/08/2024","5,250.34","5,269.51","5,296.95","5,240.33","47.04M","0.00%"
"08/07/2024","5,250.48","5,195.45","5,251.99","5,177.13","37.68M","1.98%"
"08/06/2024","5,148.49","5,127.65","5,204.14","5,118.37","36.44M","1.50%"
"08/05/2024","5,072.62","5,135.76","5,136.60","5,068.09","47.51M","-1.28%"
"08/04/2024","5,138.53","5,166.21","5,177.14","5,091.68","26.05M","-1.33%"
"08/01/2024","5,207.78","5,238.01","5,256.25","5,198.79","24.95M","-0.40%"
"07/31/2024","5,228.55","5,244.71","5,253.86","5,216.56","20.39M","-0.15%"
"07/30/2024","5,236.36","5,292.87","5,302.05","5,227.11","20.96M","-0.90%"
"07/29/2024","5,283.65","5,347.12","5,347.97","5,283.00","24.41M","-1.00%"
"07/28/2024","5,337.11","5,309.64","5,347.81","5,309.64","13.42M","0.74%"
"07/25/2024","5,297.72","5,308.40","5,317.59","5,297.39","25.84M","-0.03%"
"07/24/2024","5,299.54","5,318.54","5,327.74","5,299.39","15.05M","-0.36%"
"07/23/2024","5,318.72","5,374.58","5,383.73","5,318.01","20.79M","-1.03%"
"07/22/2024","5,374.33","5,391.60","5,401.60","5,364.59","19.63M","-0.32%"
"07/21/2024","5,391.33","5,372.11","5,409.70","5,361.59","17.35M","0.18%"
"07/18/2024","5,381.40","5,382.82","5,409.31","5,362.90","19.88M","0.32%"
"07/17/2024","5,364.33","5,344.67","5,436.40","5,344.65","27.04M","0.37%"
"07/16/2024","5,344.62","5,325.19","5,344.66","5,316.05","23.74M","0.54%"
"07/15/2024","5,315.88","5,325.59","5,334.69","5,305.83","20.72M","-0.01%"
"07/14/2024","5,316.25","5,322.81","5,341.46","5,313.74","23.28M","-0.12%"
"07/11/2024","5,322.88","5,313.15","5,332.15","5,303.38","22.69M","0.19%"
"07/10/2024","5,313.00","5,322.57","5,323.35","5,294.37","21.93M","-0.17%"
"07/09/2024","5,322.07","5,330.72","5,339.99","5,302.99","15.57M","-0.33%"
"07/08/2024","5,339.71","5,321.22","5,339.71","5,310.64","15.22M","0.34%"
"07/07/2024","5,321.36","5,340.58","5,350.28","5,311.27","10.73M","-0.18%"
"07/04/2024","5,331.09","5,287.43","5,331.09","5,276.75","19.53M","1.18%"
"07/03/2024","5,268.68","5,325.97","5,326.43","5,268.54","17.95M","-0.73%"
"07/02/2024","5,307.36","5,323.39","5,352.29","5,298.14","28.99M","0.22%"
"07/01/2024","5,295.64","5,295.28","5,350.99","5,285.83","32.16M","0.35%"
